bsid	biosystem_ncbi_gene_id
459	175201
459	175622
459	176149
459	177089
459	177524
459	177525
459	178614
459	179080
459	179962
459	180318
459	180565
459	181166
459	181217
459	181274
459	182789
459	183056
459	184917
460	11477
460	11479
460	11480
460	11481
460	11705
460	12145
460	12156
460	12162
460	12166
460	12167
460	12168
460	12458
460	12765
460	12766
460	12767
460	12768
460	12769
460	12770
460	12771
460	12772
460	12773
460	12774
460	12775
460	12776
460	12777
460	12778
460	12803
460	12804
460	12977
460	12978
460	12981
460	12982
460	12983
460	12984
460	12985
460	12986
460	13019
460	13051
460	13607
460	13608
460	13856
460	14103
460	14205
460	14255
460	14256
460	14257
460	14563
460	14825
460	15234
460	15945
460	15962
460	15964
460	15965
460	15967
460	15968
460	15969
460	15970
460	15972
460	15974
460	15975
460	15976
460	15977
460	15978
460	15979
460	15980
460	16153
460	16154
460	16155
460	16156
460	16157
460	16158
460	16159
460	16160
460	16161
460	16162
460	16163
460	16164
460	16168
460	16169
460	16171
460	16172
460	16173
460	16174
460	16175
460	16176
460	16177
460	16178
460	16180
460	16182
460	16184
460	16185
460	16187
460	16188
460	16189
460	16190
460	16191
460	16192
460	16194
460	16195
460	16198
460	16199
460	16323
460	16324
460	16325
460	16326
460	16542
460	16590
460	16878
460	16880
460	16963
460	16992
460	16994
460	17000
460	17295
460	17311
460	17329
460	17480
460	18383
460	18413
460	18414
460	18590
460	18829
460	19109
460	19116
460	20290
460	20292
460	20293
460	20295
460	20296
460	20297
460	20299
460	20300
460	20301
460	20302
460	20303
460	20304
460	20305
460	20306
460	20307
460	20308
460	20309
460	20310
460	20311
460	20312
460	20315
460	21808
460	21809
460	21812
460	21813
460	21832
460	21933
460	21934
460	21935
460	21936
460	21937
460	21938
460	21939
460	21940
460	21941
460	21942
460	21943
460	21944
460	21947
460	21948
460	21949
460	21950
460	22035
460	22163
460	22164
460	22340
460	22341
460	23832
460	24047
460	24099
460	27279
460	29820
460	50905
460	50929
460	50930
460	53603
460	54635
460	55985
460	56066
460	56069
460	56221
460	56708
460	56744
460	56838
460	57266
460	57349
460	57914
460	57916
460	58181
460	60504
460	60505
460	65956
460	66102
460	69583
460	71785
460	72049
460	80901
460	83430
460	85030
460	93672
460	94185
460	110542
460	140806
460	209590
460	213208
460	227288
460	230396
460	230405
460	230828
460	230979
460	237310
460	237313
460	240873
460	242517
460	242519
460	242700
460	245527
460	320100
460	326623
460	329244
460	387510
460	404549
460	621580
460	100038993
460	100039053
460	100039863
460	100039939
460	100040048
460	100041504
460	100041579
460	100041593
460	100042493
460	100042555
460	100504239
460	100504346
460	100504362
460	100861969
460	100861978
460	100862177
460	100862247
461	172148
461	172184
461	172221
461	173241
461	174068
461	174586
461	174902
461	175344
461	176653
461	176757
461	177525
461	178614
461	180452
461	180770
461	180871
461	181166
461	181274
461	181428
461	181618
461	182789
461	186262
461	191426
462	172914
462	173929
462	175783
462	175893
462	176691
462	176694
462	177327
462	179962
462	180565
462	180714
462	180922
462	183056
462	183595
462	185623
462	186230
462	188499
462	189837
462	191320
462	191707
462	3565335
462	3565717
463	12235
463	12427
463	12442
463	12443
463	12444
463	12445
463	12447
463	12448
463	12530
463	12531
463	12532
463	12544
463	12545
463	12566
463	12567
463	12571
463	12576
463	12577
463	12580
463	12581
463	13006
463	13197
463	13557
463	13559
463	17120
463	17126
463	17127
463	17128
463	17215
463	17217
463	17218
463	17219
463	17220
463	17222
463	17873
463	18392
463	18393
463	18817
463	19357
