bsid	entry_stable_id
175292	AF_004388
175292	AF_004832
175292	AF_004852
175292	AF_004980
175292	AF_005329
175292	AF_005334
175292	AF_005502
175292	AF_006395
175292	AF_006450
175292	AF_006524
175292	AF_006842
175292	AF_006862
175292	AF_006928
175292	AF_007103
175292	AF_008842
175292	AF_009027
175292	AF_009247
175292	AF_009270
175313	AF_007796
177887	AF_001220
193095	AF_002732
193096	AF_000861
193096	AF_001488
193148	AF_002732
193149	AF_000861
193149	AF_001488
193196	AF_004228
193196	AF_005334
193196	AF_006524
193196	AF_007103
193196	AF_008963
193197	AF_005678
193203	AF_003995
199273	AF_005852
199273	AF_005919
199273	AF_007064
199273	AF_009250
213276	AF_000941
213277	AF_001552
213308	AF_001552
213309	AF_000941
213743	AF_004027
213781	AF_004027
213811	AF_002732
213819	AF_002732
217150	AF_001220
217174	AF_001220
217717	AF_002732
373889	AF_000166
373889	AF_001552
373889	AF_001997
373889	AF_002732
373889	AF_002978
373889	AF_003890
373889	AF_004027
373889	AF_004105
373889	AF_004161
373889	AF_004635
373889	AF_007978
373903	AF_000166
373903	AF_001552
373903	AF_001997
373903	AF_002732
373903	AF_002978
373903	AF_003890
373903	AF_004027
373903	AF_004105
373903	AF_004161
373903	AF_004635
373903	AF_007978
377128	AF_003890
377128	AF_004147
377128	AF_004266
377128	AF_005901
377128	AF_008475
377128	AF_008549
377129	AF_002732
377139	AF_004266
377139	AF_005901
377268	AF_003890
377268	AF_004147
377268	AF_008475
377268	AF_008549
377269	AF_002732
377865	AF_001552
377865	AF_003864
377865	AF_008230
377874	AF_001552
377874	AF_003864
377874	AF_008230
394231	AF_005100
394231	AF_006732
394231	AF_007289
394231	AF_009011
394232	AF_005100
394232	AF_006732
394233	AF_005100
394233	AF_006732
394233	AF_006809
394233	AF_009011
394233	AF_009020
394234	AF_007289
394234	AF_009451
394237	AF_009451
394238	AF_005673
394238	AF_005985
394238	AF_008775
394239	AF_004229
394239	AF_004823
394239	AF_004863
394239	AF_005143
394239	AF_005213
394239	AF_005798
394239	AF_006376
394239	AF_006654
394239	AF_009017
394242	AF_005346
394246	AF_006449
394248	AF_006747
394249	AF_009253
394250	AF_007141
394265	AF_009017
400958	AF_007451
400960	AF_007451
400963	AF_007604
400963	AF_007738
400974	AF_003101
400984	AF_007560
400984	AF_007673
400986	AF_007747
421742	AF_001585
421755	AF_000439
421792	AF_000941
468194	AF_000416
468194	AF_000594
468194	AF_005100
468194	AF_006732
468194	AF_007289
468194	AF_009011
468195	AF_005100
468195	AF_006732
468196	AF_001585
468196	AF_005100
468196	AF_006732
468196	AF_006809
468196	AF_008988
468196	AF_009011
468196	AF_009020
468196	AF_009436
468207	AF_000941
468246	AF_005346
468255	AF_006747
468278	AF_000439
468279	AF_009253
468307	AF_007560
468307	AF_007673
468309	AF_000941
468323	AF_007747
469185	AF_002732
469185	AF_003864
469185	AF_008230
469201	AF_002732
469201	AF_003864
469201	AF_008230
522987	AF_000804
522987	AF_001488
522987	AF_001552
522987	AF_001736
522987	AF_001997
522987	AF_004635
523020	AF_000804
523020	AF_001488
523020	AF_001552
523020	AF_001736
523020	AF_001997
523020	AF_004635
525339	AF_000042
525339	AF_002732
537783	AF_002732
539806	AF_002732
546267	AF_002732
546273	AF_002732
547634	AF_001350
547634	AF_002732
550546	AF_001350
550546	AF_002732
552689	AF_002732
554808	AF_002732
585576	AF_001552
585576	AF_004635
585577	AF_001982
585577	AF_002732
587115	AF_001552
587115	AF_004635
587116	AF_001982
587116	AF_002732
634537	AF_001736
634537	AF_001997
634537	AF_009282
658509	AF_001552
658509	AF_004027
658509	AF_004635
662842	AF_001552
662842	AF_004027
662842	AF_004635
663561	AF_006819
692242	AF_000008
692242	AF_000064
692242	AF_000266
692242	AF_000368
692242	AF_000398
692242	AF_000520
692242	AF_000804
692242	AF_000822
692242	AF_001213
692242	AF_001552
692242	AF_001585
692242	AF_001682
692242	AF_004147
692242	AF_004635
692242	AF_004747
692979	AF_000008
692979	AF_000064
692979	AF_000266
